Symbol,Name,Type,Date,Shares,Price,Cash value,Commission,Notes
APAM.AS,Aperam SA,Buy,"Oct 1, 2019",50,22.37,,0,
ONTEX.BR,Ontex Group NV,Buy,"Apr 18, 2018",50,21.30,,0,
KENDR.AS,Kendrion NV,Buy,"Apr 18, 2018",30,35.1,,0,
KLAC,KLA-Tencor Corporation,Buy,"Apr 19, 2018",18,106.24,,0,
PG,The Procter & Gamble Company,Buy,"Apr 19, 2018",20,76.271,,0,
TFI.PA,TF 1,Buy,"Apr 26, 2018",100,10.283,,0,
LIGHT.AS,Philips Lighting N.V.,Buy,"Apr 26, 2018",40,26.84,,0,
LIGHT.AS,Philips Lighting N.V.,Sell,"Nov 7, 2019",40,27.22,,0,
QFG.BR,Quest for Growth Belgium,Buy,"Apr 27, 2018",140,7.62,,0,
JNJ,Johnson and Johnson,Buy,"May 3, 2018",18,124.084,,0,
MMB.PA,Lagardere Groupe,Buy,"May 8, 2018",60,22.93,,0,
MMB.PA,Lagardere Groupe,Buy,"Feb 12, 2019",55,22.3,,0,
MMB.PA,Lagardere Groupe,Buy,"Nov 6, 2019",65,19.52,,0,
ALHRG.PA,Herige,Buy,"May 16, 2018",27,42.11,,0,
RUI.PA,Rubis,Buy,"May 25, 2018",20,60.497,,0,
RUI.PA,Rubis,Buy,"Feb 11, 2019",22,50.87,,0,
ATUS,Altice USA,Buy,"Jun 18, 2018",29,17.50,,0,
ATO.PA,Atos SE,Buy,"Jun 19, 2018",10,119.589,,0,
ATO.PA,Atos SE,Buy,"Nov 20, 2018",15,70.09,,0,
ATO.PA,Atos SE,Sell,"Apr 17, 2019",25,92.32,,0,
ATO.PA,Atos SE,Buy,"May 3, 2019",18,69.46,,0,
ATO.PA,Atos SE,Buy,"Sep 18, 2019",18,64.57,,0,
ATO.PA,Atos SE,Buy,"Nov 13, 2019",17,73.33,,0,
PAH3.DE,Porsche Automobil Holding,Buy,"Jun 26, 2018",22,56.24,,0,
TUI1.DE,TUI,Buy,"Sep 14, 2018",120,15.31,,0,
TUI1.DE,TUI,Buy,"Dec 20, 2018",85,12.56,,0,
TUI1.DE,TUI,Buy,"Feb 13, 2019",120,9.83,,0,
MELE.BR,Melexis,Buy,"Oct 24, 2018",25,50.82,,0,
TWEKA.AS,TKH Group N.V.,Buy,"Mar 21, 2019",30,43.877,,0,
AALB.AS,Aalberts Industries N.V.,Buy,"Mar 21, 2019",40,32.06,,0,
RNO.PA,Renault,Buy,"Apr 24, 2019",22,61.72,,0,
AMG.AS,AMG Advanced Metallurgical Group,Buy,"Apr 25, 2019",50,27.81,,0,
EN.PA,Bouygues,Buy,"Apr 30, 2019",38,33.83,,0,
BCART.BR,Biocartis Group NV,Buy,"Aug 14, 2019",120,10.12,,0,
BCART.BR,Biocartis Group NV,Buy,"Nov 26, 2019",150,6.21,,0,
BABA,Alibaba,Buy,"Sep 6, 2019",12,180.53,,0,
AMZN,Amazon,Buy,"Sep 16, 2019",1,1822.13,,0,
CHKP,Check Point,Buy,"Sep 24, 2019",17,109.01,,0,
WDI.DE,Wirecard AG,Buy,"Oct 2, 2019",9,144.58,,0,
SAVE.PA,Savencia SA,Buy,"Nov 12, 2019",30,60.45,,0,
VOD.L,Vodafone PLC,Buy,"Nov 12, 2019",1125,162.9,,0,
RF.PA,Eurazeo SE,Buy,"Nov 15, 2019",22,62.66,,0,
,Cash,Deposit Cash,"Jul 13, 2015",,,,35.00,fusion lafarge
,Cash,Deposit Cash,"Jul 20, 2015",,,,346.88,Koninklijke Ten Cate NV
,Cash,Deposit Cash,"Sep 7, 2015",,,,208.01,Compagnie Maritime Belge SA
,Cash,Deposit Cash,"May 23, 2017",,,,968.00,vente Arcelor Mittal
,Cash,Deposit Cash,"Jan 16, 2017",,,,146.63,vente technip
,Cash,Deposit Cash,"Jan 16, 2017",,,,-73.6,vente delta lloyd
,Cash,Deposit Cash,"Dec 20, 2017",,,,-147,vente potash
,Cash,Deposit Cash,"Oct 26, 2017",,,,1515,vente ablynx
